SBS-1 Log from KAMPENHOUT for 08/03/2015. Times are LOCAL.
Author skystef
Created by Active Display Lite v1.64.0.30

Code   CallSign Reg      ICAO FAlt  LAlt  Date/Time (dd/mm/yyyy)
400E12 EZY15EB  G-EZAT   A319 38000 38000 08/03/2015 00:00:53
4007F4 BAW163   G-YMMI   B772 28650 37000 08/03/2015 00:03:33
4BAAA1 THY5PC   TC-JUA   A319 9200  34950 08/03/2015 00:03:40
76CCC7 SQC7393  9V-SFG   B744 39000 39000 08/03/2015 00:04:07
4891B6 ENT986   SP-ENX   B738 38000 33700 08/03/2015 00:04:22
A83C76 N63M     N63M     GLF5 41000 41000 08/03/2015 00:07:23
3949F3 AFR274   F-GSPT   B772 27625 32975 08/03/2015 00:10:09
394A0B AFR382   F-GSQL   B77W 24125 31000 08/03/2015 00:10:19
3964E5 TVF93Z   F-GZHF   B738 0     18350 08/03/2015 00:10:44
3C49A5 BER755J  D-ABME   B738 36375 16125 08/03/2015 00:11:14
4B8470 PGT478   TC-ACP   B738 11400 24975 08/03/2015 00:11:26
AA7974 SOO097   N774SA   B77L 35000 35000 08/03/2015 00:11:44
780A8A CPA254   B-KQV    B77W 33000 33000 08/03/2015 00:11:48
3C5CAC GMI3483  D-AGEL   B737 38000 38000 08/03/2015 00:13:08
846DEF NCA190   JA15KZ   B748 37000 25125 08/03/2015 00:14:10
39BD24 AFR116   F-HPJE   A388 26700 35000 08/03/2015 00:14:48
503DAB NAX91H   LY-VEO   A320 36000 36975 08/03/2015 00:15:02
44A826 JAF46M   OO-JAF   B738 24175 0     08/03/2015 00:18:08
7608EC PIA702   AP-BGL   B772 35000 35000 08/03/2015 00:19:19
4CA257 RYR32FQ  EI-DHB   B738 38000 33900 08/03/2015 00:20:12
3C70A7 BCS8633  D-ALEG   B752 28675 -75   08/03/2015 00:24:17
4403BD AOJ94L   OE-IIS   GLF5 40000 40000 08/03/2015 00:26:27
4891B6 ENT986U  SP-ENX   B738 33700 33600 08/03/2015 00:26:41
3C0CA5 TUI2XK   D-ATUM   B738 36000 36000 08/03/2015 00:28:22
4CA702 RYR446F  EI-EBE   B738 28000 28000 08/03/2015 00:30:19
ABC1DA -------- N857FD   B77L 29000 29000 08/03/2015 00:32:51
4069EB -------- G-TCDC   A321 32450 30875 08/03/2015 00:37:23
3C69F9 DAJOY    D-AJOY   CRJ2 34000 25000 08/03/2015 00:44:14
42475E TBJ77    VP-CJK   GLEX 30350 38975 08/03/2015 00:45:29
44D102 ELY872   OO-THB   B744 7025  10800 08/03/2015 00:46:50
49524F NAX1783  CS-TRO   A320 35000 35000 08/03/2015 00:49:13
A78CB4 FDX5225  N586FE   MD11 23550 28025 08/03/2015 00:53:43
484AA1 TRA534   PH-HSW   B738 40000 11900 08/03/2015 00:53:47
44D073 TCW6197  OO-TCS   A319 26050 -100  08/03/2015 00:59:57
ACC619 FDX5190  N922FD   B752 31675 37025 08/03/2015 01:00:54
400E5B EZS53BX  G-EZAY   A319 8925  39000 08/03/2015 01:02:24
48414F TRA904   PH-HZK   B738 22800 19125 08/03/2015 01:03:00
3C49C6 BER3573  D-ABNF   B752 36000 27850 08/03/2015 01:04:15
4951D6 TAP796   CS-TNV   A320 36000 37000 08/03/2015 01:04:54
4A08E6 ROT396   YR-BGF   B737 32850 41050 08/03/2015 01:06:32
ABD30F -------- N861FD   B77L 30450 30500 08/03/2015 01:07:51
4B8E04 PGT52CW  TC-CPD   B738 29000 35000 08/03/2015 01:08:56
484134 -------- PH-HZD   B738 21925 21725 08/03/2015 01:16:47
020108 MAC224   CN-NMG   A320 25275 33150 08/03/2015 01:18:26
44D074 TCW6475  OO-TCT   A320 16975 0     08/03/2015 01:18:42
ACB4E4 FDX5182  N918FD   B752 37000 37000 08/03/2015 01:21:05
3C5426 BCS860   D-AEAF   A306 37975 37975 08/03/2015 01:21:09
484C59 TRA182   PH-HSB   B738 34275 18925 08/03/2015 01:21:42
40695B MON2719  G-ZBAG   A321 36025 22050 08/03/2015 01:21:48
4A082A BMS232   YR-BAJ   B734 31925 32950 08/03/2015 01:23:16
484B28 TFL546   PH-TFC   B738 38000 11200 08/03/2015 01:24:31
AA92FF UAL91    N78008   B772 34000 34000 08/03/2015 01:26:11
020026 RAM220   CN-RNQ   B737 35950 36950 08/03/2015 01:31:43
44E22A TEST1234 OO-XQJ   ---- ----- ----- 08/03/2015 01:32:31
406AF3 MON473   G-ZBAJ   A321 36000 36000 08/03/2015 01:38:27
503C73 NAX4528  LY-SPB   A320 36000 37000 08/03/2015 01:40:26
44D068 TCW6577  OO-TCH   A320 21650 2650  08/03/2015 01:52:16
71BC62 KAL504   HL7462   B744 28400 31000 08/03/2015 01:56:02
4841A9 TRA92B   PH-HZW   B738 38000 30300 08/03/2015 01:57:08
71BC62 KAL504   HL7462   B744 31000 31000 08/03/2015 02:05:41
4841A9 TRA92B   PH-HZW   B738 28575 11825 08/03/2015 02:05:41
503C73 NAX4528  LY-SPB   A320 36975 37000 08/03/2015 02:05:41
A2E813 AWE797   N287AY   A332 35975 35975 08/03/2015 02:05:41
