Reg;Type;Airline;Time;Date;Flight;From;Found;Source
N919FR;A319;FFT;00:00;2007.01.01;F90676;DEN-MCO;Pensacola, FL;ACARS LOG 0000 20070101 to 2359 20070101
N418US;B734;US;00:00;2007.01.01;US1849;PHL-DCA;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N70401;MD82;AA;00:00;2007.01.01;AA1418;SMF-DFW-BOS;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
JA8999;B734;JL;00:00;2007.01.01;YOWDJL;;Sendai,Japan;ACARS LOG 0000 20070101 to 2359 20070101
N838HK;E145;LOF;00:00;2007.01.01;AX8017;STL-ORD;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
TC-JLH;A320;TK;00:00;2007.01.01;TK1192;IST-TLV;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N420US;B734;US;00:00;2007.01.01;US1189;ALB-DCA-MCO;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
B-HNG;B773;CX;00:00;2007.01.01;000000;;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
N740UW;A319;US;00:00;2007.01.01;US1160;MDPC-PHL-DCA;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N673AW;A320;HP;00:01;2007.01.01;HP0050;LAS-JFK;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N595JB;A320;JBU;00:01;2007.01.01;B60437;BOS-MCO;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N940N;DC9-32;NW;00:01;2007.01.01;NW1044;BIL-MSP-CMH;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N378DA;B738;DL;00:01;2007.01.01;DL0327;ATL-ACA;Pensacola, FL;ACARS LOG 0000 20070101 to 2359 20070101
HS-TGL;B744;TG;00:01;2007.01.01;TG0917;LHR-BKK;Sheffield 53.31N,1.35W 755ft ASL UK;ACARS LOG 0000 20070101 to 2359 20070101
N760NW;DC9-41;NW;00:01;2007.01.01;NW0502;MSP-IND;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N438UA;A320;UA;00:01;2007.01.01;UA1447;MDW-DEN;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
N427UA;A320;UA;00:01;2007.01.01;UA0443;PIT-DEN;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N404QS;GLF4;---;00:01;2007.01.01;GS0001;;Raleigh, NC,USA;ACARS LOG 0000 20070101 to 2359 20070101
N675MC;DC9-51;NW;00:01;2007.01.01;NW0881;TPA-MEM-MSY;Orlando, FL.;ACARS LOG 0000 20070101 to 2359 20070101
VH-OJI;B744;QF;00:02;2007.01.01;QF0005;SYD-FRA;somewhere;ACARS LOG 0000 20070101 to 2359 20070101
N454UA;A320;UA;00:02;2007.01.01;UA0481;EWR-DEN;Philadelphia;ACARS LOG 0000 20070101 to 2359 20070101
JA736J;B773;JL;00:02;2007.01.01;JL3002;ITM-NRT;Osaka Japan.;ACARS LOG 0000 20070101 to 2359 20070101
